STAC Field,MSS 1-3 Field,MSS 4-5 Field,TM Field,ETM+ Field,OLI_TIRS Field,OLI-only Field,TIRS-only Field
,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE
,"  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS"
,"    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey"""
,,,"    DATA_TYPE_ANGLE_SOLAR_ZENITH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SOLAR_ZENITH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SOLAR_ZENITH_BAND_4 = ""INT16""","    DATA_TYPE_ANGLE_SOLAR_ZENITH_BAND_4 = ""INT16""",
,"  END_GROUP = PRODUCT_CONTENTS","  END_GROUP = PRODUCT_CONTENTS","  END_GROUP = PRODUCT_CONTENTS","  END_GROUP = PRODUCT_CONTENTS","  END_GROUP = PRODUCT_CONTENTS","  END_GROUP = PRODUCT_CONTENTS","  END_GROUP = PRODUCT_CONTENTS"
,"  GROUP = IMAGE_ATTRIBUTES","  GROUP = IMAGE_ATTRIBUTES","  GROUP = IMAGE_ATTRIBUTES","  GROUP = IMAGE_ATTRIBUTES","  GROUP = IMAGE_ATTRIBUTES","  GROUP = IMAGE_ATTRIBUTES","  GROUP = IMAGE_ATTRIBUTES"
platform,"    SPACECRAFT_ID = ""LANDSAT_1""","    SPACECRAFT_ID = ""LANDSAT_4""","    SPACECRAFT_ID = ""LANDSAT_5""","    SPACECRAFT_ID = ""LANDSAT_7""","    SPACECRAFT_ID = ""LANDSAT_8""","    SPACECRAFT_ID = ""LANDSAT_8""","    SPACECRAFT_ID = ""LANDSAT_8"""
Instruments,"    SENSOR_ID = ""MSS""","    SENSOR_ID = ""MSS""","    SENSOR_ID = ""TM""","    SENSOR_ID = ""ETM""","    SENSOR_ID = ""OLI_TIRS""","    SENSOR_ID = ""OLI""","    SENSOR_ID = ""TIRS"""
landsat:wrs_type,"    WRS_TYPE = 1","    WRS_TYPE = 2","    WRS_TYPE = 2","    WRS_TYPE = 2","    WRS_TYPE = 2","    WRS_TYPE = 2","    WRS_TYPE = 2"
landsat:wrs_path,"    WRS_PATH = 040","    WRS_PATH = 027","    WRS_PATH = 047","    WRS_PATH = 042","    WRS_PATH = 140","    WRS_PATH = 67","    WRS_PATH = 15"
landsat:wrs_row,"    WRS_ROW = 030","    WRS_ROW = 037","    WRS_ROW = 027","    WRS_ROW = 027","    WRS_ROW = 41","    WRS_ROW = 17","    WRS_ROW = 43"
,,,,,"    NADIR_OFFNADIR = ""NADIR""","    NADIR_OFFNADIR = ""NADIR""","    NADIR_OFFNADIR = ""NADIR"""
,,,,,"    TARGET_WRS_PATH = 140","    TARGET_WRS_PATH = 67","    TARGET_WRS_PATH = 15"
,,,,,"    TARGET_WRS_ROW = 41","    TARGET_WRS_ROW = 17","    TARGET_WRS_ROW = 43"
datetime,"    DATE_ACQUIRED = 1972-09-29","    DATE_ACQUIRED = 1983-04-15","    DATE_ACQUIRED = 2010-10-06","    DATE_ACQUIRED = 2005-09-27","    DATE_ACQUIRED = 2013-05-03","    DATE_ACQUIRED = 2013-07-22","    DATE_ACQUIRED = 2013-05-07"
,"    SCENE_CENTER_TIME = ""17:35:31.7300000Z""","    SCENE_CENTER_TIME = ""16:32:02.1010000Z""","    SCENE_CENTER_TIME = ""18:51:52.3160190Z""","    SCENE_CENTER_TIME = ""18:20:00.1881414Z""","    SCENE_CENTER_TIME = ""04:43:58.0429310Z""","    SCENE_CENTER_TIME = ""21:03:25.0671140Z""","    SCENE_CENTER_TIME = ""15:52:17.3967010Z"""
,"    STATION_ID = ""GDS""","    STATION_ID = ""AAA""","    STATION_ID = ""PAC""","    STATION_ID = ""EDC""","    STATION_ID = ""LGN""","    STATION_ID = ""LGN""","    STATION_ID = ""LGN"""
eo:cloud_cover,"    CLOUD_COVER = 9.00","    CLOUD_COVER = 0.00","    CLOUD_COVER = 1.00","    CLOUD_COVER = 5.00","    CLOUD_COVER = 13.82","    CLOUD_COVER = 18.90","    CLOUD_COVER = -1"
landsat:cloud_cover_land,"    CLOUD_COVER_LAND = 11.00","    CLOUD_COVER_LAND = 0.00","    CLOUD_COVER_LAND = 1.00","    CLOUD_COVER_LAND = 5.00","    CLOUD_COVER_LAND = 13.82","    CLOUD_COVER_LAND = 21.42","    CLOUD_COVER_LAND = -1"
,"    IMAGE_QUALITY = -1","    IMAGE_QUALITY = 5","    IMAGE_QUALITY = 9","    IMAGE_QUALITY = 9",,,
,,,,,"    IMAGE_QUALITY_OLI = 9","    IMAGE_QUALITY_OLI = 9",
,,,,,"    IMAGE_QUALITY_TIRS = 9",,"    IMAGE_QUALITY_TIRS = 9"
,,"    SATURATION_BAND_1 = ""Y""","    SATURATION_BAND_1 = ""Y""","    SATURATION_BAND_1 = ""Y""","    SATURATION_BAND_1 = ""Y""","    SATURATION_BAND_1 = ""N""",
,,"    SATURATION_BAND_2 = ""Y""","    SATURATION_BAND_2 = ""Y""","    SATURATION_BAND_2 = ""Y""","    SATURATION_BAND_2 = ""Y""","    SATURATION_BAND_2 = ""N""",
,,"    SATURATION_BAND_3 = ""Y""","    SATURATION_BAND_3 = ""Y""","    SATURATION_BAND_3 = ""Y""","    SATURATION_BAND_3 = ""Y""","    SATURATION_BAND_3 = ""N""",
,"    SATURATION_BAND_4 = ""Y""","    SATURATION_BAND_4 = ""Y""","    SATURATION_BAND_4 = ""Y""","    SATURATION_BAND_4 = ""Y""","    SATURATION_BAND_4 = ""Y""","    SATURATION_BAND_4 = ""N""",
,"    SATURATION_BAND_5 = ""Y""",,"    SATURATION_BAND_5 = ""Y""","    SATURATION_BAND_5 = ""Y""","    SATURATION_BAND_5 = ""Y""","    SATURATION_BAND_5 = ""N""",
,"    SATURATION_BAND_6 = ""Y""",,"    SATURATION_BAND_6 = ""N""",,"    SATURATION_BAND_6 = ""Y""","    SATURATION_BAND_6 = ""N""",
,,,,"    SATURATION_BAND_6_VCID_1 = ""Y""",,,
,,,,"    SATURATION_BAND_6_VCID_2 = ""Y""",,,
,"    SATURATION_BAND_7 = ""N""",,"    SATURATION_BAND_7 = ""Y""","    SATURATION_BAND_7 = ""Y""","    SATURATION_BAND_7 = ""Y""","    SATURATION_BAND_7 = ""N""",
,,,,"    SATURATION_BAND_8 = ""N""","    SATURATION_BAND_8 = ""N""","    SATURATION_BAND_8 = ""N""",
,,,,,"    SATURATION_BAND_9 = ""N""","    SATURATION_BAND_9 = ""N""",
,,,,,"    ROLL_ANGLE = -0.001","    ROLL_ANGLE = -0.001","    ROLL_ANGLE = -0.001"
view:sun_azimuth,"    SUN_AZIMUTH = 149.09830706","    SUN_AZIMUTH = 124.41900614","    SUN_AZIMUTH = 158.55413095","    SUN_AZIMUTH = 156.24786492","    SUN_AZIMUTH = 116.18483035","    SUN_AZIMUTH = 162.13263005","    SUN_AZIMUTH = 106.21572518"
view:sun_elevation,"    SUN_ELEVATION = 39.61461573","    SUN_ELEVATION = 54.34301559","    SUN_ELEVATION = 35.04073331","    SUN_ELEVATION = 38.04866994","    SUN_ELEVATION = 66.97699002","    SUN_ELEVATION = 47.68194250","    SUN_ELEVATION = 68.27563938"
,"    EARTH_SUN_DISTANCE = 1.0014208","    EARTH_SUN_DISTANCE = 1.0033437","    EARTH_SUN_DISTANCE = 0.9996474","    EARTH_SUN_DISTANCE = 1.0021400","    EARTH_SUN_DISTANCE = 1.0080943","    EARTH_SUN_DISTANCE = 1.0158918","    EARTH_SUN_DISTANCE = 1.0092035"
,,,"    SENSOR_MODE = ""BUMPER""","    SENSOR_MODE = ""SAM""",,,
,,,"    SENSOR_MODE_SLC = ""ON""","    SENSOR_MODE_SLC = ""OFF""",,,
,,,"    SENSOR_ANOMALIES = ""NONE""","    SENSOR_ANOMALIES = ""NONE""",,,
,,,,,"    TRUNCATION_OLI = ""UPPER""","    TRUNCATION_OLI = ""UPPER""",
,,,,,"    TIRS_SSM_MODEL = ""ACTUAL""",,"    TIRS_SSM_MODEL = ""ACTUAL"""
,,,,,"    TIRS_SSM_POSITION_STATUS = ""NOMINAL""",,"    TIRS_SSM_POSITION_STATUS = ""NOMINAL"""
,"  END_GROUP = IMAGE_ATTRIBUTES","  END_GROUP = IMAGE_ATTRIBUTES","  END_GROUP = IMAGE_ATTRIBUTES","  END_GROUP = IMAGE_ATTRIBUTES","  END_GROUP = IMAGE_ATTRIBUTES","  END_GROUP = IMAGE_ATTRIBUTES","  END_GROUP = IMAGE_ATTRIBUTES"
,"  GROUP = PROJECTION_ATTRIBUTES","  GROUP = PROJECTION_ATTRIBUTES","  GROUP = PROJECTION_ATTRIBUTES","  GROUP = PROJECTION_ATTRIBUTES","  GROUP = PROJECTION_ATTRIBUTES","  GROUP = PROJECTION_ATTRIBUTES","  GROUP = PROJECTION_ATTRIBUTES"
,"    MAP_PROJECTION = ""UTM""","    MAP_PROJECTION = ""UTM""","    MAP_PROJECTION = ""UTM""","    MAP_PROJECTION = ""UTM""","    MAP_PROJECTION = ""UTM""","    MAP_PROJECTION = ""UTM""","    MAP_PROJECTION = ""UTM"""
,"    DATUM = ""WGS84""","    DATUM = ""WGS84""","    DATUM = ""WGS84""","    DATUM = ""WGS84""","    DATUM = ""WGS84""","    DATUM = ""WGS84""","    DATUM = ""WGS84"""
,"    ELLIPSOID = ""WGS84""","    ELLIPSOID = ""WGS84""","    ELLIPSOID = ""WGS84""","    ELLIPSOID = ""WGS84""","    ELLIPSOID = ""WGS84""","    ELLIPSOID = ""WGS84""","    ELLIPSOID = ""WGS84"""
,"    UTM_ZONE = 12","    UTM_ZONE = 14","    UTM_ZONE = 10","    UTM_ZONE = 11","    UTM_ZONE = 45","    UTM_ZONE = 6","    UTM_ZONE = 17"
gsd,,,,"    GRID_CELL_SIZE_PANCHROMATIC = 15.00","    GRID_CELL_SIZE_PANCHROMATIC = 15.00","    GRID_CELL_SIZE_PANCHROMATIC = 15.00",
gsd,"    GRID_CELL_SIZE_REFLECTIVE = 60.00","    GRID_CELL_SIZE_REFLECTIVE = 60.00","    GRID_CELL_SIZE_REFLECTIVE = 30.00","    GRID_CELL_SIZE_REFLECTIVE = 30.00","    GRID_CELL_SIZE_REFLECTIVE = 30.00","    GRID_CELL_SIZE_REFLECTIVE = 30.00",
gsd,,,"    GRID_CELL_SIZE_THERMAL = 30.00","    GRID_CELL_SIZE_THERMAL = 30.00","    GRID_CELL_SIZE_THERMAL = 30.00",,"    GRID_CELL_SIZE_THERMAL = 30.00"
,,,,"    PANCHROMATIC_LINES = 14581","    PANCHROMATIC_LINES = 14701","    PANCHROMATIC_LINES = 16521",
,,,,"    PANCHROMATIC_SAMPLES = 15961","    PANCHROMATIC_SAMPLES = 15101","    PANCHROMATIC_SAMPLES = 16401",
,"    REFLECTIVE_LINES = 3654","    REFLECTIVE_LINES = 3409","    REFLECTIVE_LINES = 7351","    REFLECTIVE_LINES = 7291","    REFLECTIVE_LINES = 7351","    REFLECTIVE_LINES = 8261",
,"    REFLECTIVE_SAMPLES = 3849","    REFLECTIVE_SAMPLES = 3859","    REFLECTIVE_SAMPLES = 8141","    REFLECTIVE_SAMPLES = 7981","    REFLECTIVE_SAMPLES = 7551","    REFLECTIVE_SAMPLES = 8201",
,,,"    THERMAL_LINES = 7351","    THERMAL_LINES = 7291","    THERMAL_LINES = 7351",,"    THERMAL_LINES = 7521"
,,,"    THERMAL_SAMPLES = 8141","    THERMAL_SAMPLES = 7981","    THERMAL_SAMPLES = 7551",,"    THERMAL_SAMPLES = 7471"
,"    ORIENTATION = ""NORTH_UP""","    ORIENTATION = ""NORTH_UP""","    ORIENTATION = ""NORTH_UP""","    ORIENTATION = ""NORTH_UP""","    ORIENTATION = ""NORTH_UP""","    ORIENTATION = ""NORTH_UP""","    ORIENTATION = ""NORTH_UP"""
proj:bbox,"    CORNER_UL_LAT_PRODUCT = 44.04915","    CORNER_UL_LAT_PRODUCT = 34.14310","    CORNER_UL_LAT_PRODUCT = 48.42612","    CORNER_UL_LAT_PRODUCT = 48.44764","    CORNER_UL_LAT_PRODUCT = 28.41605","    CORNER_UL_LAT_PRODUCT = 62.56498","    CORNER_UL_LAT_PRODUCT = 25.57039"
proj:bbox,"    CORNER_UL_LON_PRODUCT = -111.12683","    CORNER_UL_LON_PRODUCT = -98.37284","    CORNER_UL_LON_PRODUCT = -125.10335","    CORNER_UL_LON_PRODUCT = -117.30292","    CORNER_UL_LON_PRODUCT = 85.68092","    CORNER_UL_LON_PRODUCT = -149.33868","    CORNER_UL_LON_PRODUCT = -81.87713"
proj:bbox,"    CORNER_UR_LAT_PRODUCT = 44.01603","    CORNER_UR_LAT_PRODUCT = 34.10464","    CORNER_UR_LAT_PRODUCT = 48.43911","    CORNER_UR_LAT_PRODUCT = 48.41066","    CORNER_UR_LAT_PRODUCT = 28.41882","    CORNER_UR_LAT_PRODUCT = 62.56312","    CORNER_UR_LAT_PRODUCT = 25.56676"
proj:bbox,"    CORNER_UR_LON_PRODUCT = -108.24629","    CORNER_UR_LON_PRODUCT = -95.86401","    CORNER_UR_LON_PRODUCT = -121.80205","    CORNER_UR_LON_PRODUCT = -114.06748","    CORNER_UR_LON_PRODUCT = 87.99344","    CORNER_UR_LON_PRODUCT = -144.55248","    CORNER_UR_LON_PRODUCT = -79.64606"
proj:bbox,"    CORNER_LL_LAT_PRODUCT = 42.07544","    CORNER_LL_LAT_PRODUCT = 32.29878","    CORNER_LL_LAT_PRODUCT = 46.44333","    CORNER_LL_LAT_PRODUCT = 46.47980","    CORNER_LL_LAT_PRODUCT = 26.42589","    CORNER_LL_LAT_PRODUCT = 60.34213","    CORNER_LL_LAT_PRODUCT = 23.53309"
proj:bbox,"    CORNER_LL_LON_PRODUCT = -111.12282","    CORNER_LL_LON_PRODUCT = -98.38586","    CORNER_LL_LON_PRODUCT = -125.02576","    CORNER_LL_LON_PRODUCT = -117.29182","    CORNER_LL_LON_PRODUCT = 85.70436","    CORNER_LL_LON_PRODUCT = -149.17777","    CORNER_LL_LON_PRODUCT = -81.86307"
proj:bbox,"    CORNER_LR_LAT_PRODUCT = 42.04451","    CORNER_LR_LAT_PRODUCT = 32.26292","    CORNER_LR_LAT_PRODUCT = 46.45545","    CORNER_LR_LAT_PRODUCT = 46.44526","    CORNER_LR_LAT_PRODUCT = 26.42843","    CORNER_LR_LAT_PRODUCT = 60.34043","    CORNER_LR_LAT_PRODUCT = 23.52978"
proj:bbox,"    CORNER_LR_LON_PRODUCT = -108.33311","    CORNER_LR_LON_PRODUCT = -95.92902","    CORNER_LR_LON_PRODUCT = -121.84627","    CORNER_LR_LON_PRODUCT = -114.17475","    CORNER_LR_LON_PRODUCT = 87.97578","    CORNER_LR_LON_PRODUCT = -144.72086","    CORNER_LR_LON_PRODUCT = -79.66776"
,"    CORNER_UL_PROJECTION_X_PRODUCT = 489840.000","    CORNER_UL_PROJECTION_X_PRODUCT = 557820.000","    CORNER_UL_PROJECTION_X_PRODUCT = 344400.000","    CORNER_UL_PROJECTION_X_PRODUCT = 477600.000","    CORNER_UL_PROJECTION_X_PRODUCT = 370800.000","    CORNER_UL_PROJECTION_X_PRODUCT = 379800.000","    CORNER_UL_PROJECTION_X_PRODUCT = 411900.000"
,"    CORNER_UL_PROJECTION_Y_PRODUCT = 4877340.000","    CORNER_UL_PROJECTION_Y_PRODUCT = 3778200.000","    CORNER_UL_PROJECTION_Y_PRODUCT = 5365800.000","    CORNER_UL_PROJECTION_Y_PRODUCT = 5366100.000","    CORNER_UL_PROJECTION_Y_PRODUCT = 3144000.000","    CORNER_UL_PROJECTION_Y_PRODUCT = 6939300.000","    CORNER_UL_PROJECTION_Y_PRODUCT = 2828400.000"
,"    CORNER_UR_PROJECTION_X_PRODUCT = 720720.000","    CORNER_UR_PROJECTION_X_PRODUCT = 789300.000","    CORNER_UR_PROJECTION_X_PRODUCT = 588600.000","    CORNER_UR_PROJECTION_X_PRODUCT = 717000.000","    CORNER_UR_PROJECTION_X_PRODUCT = 597300.000","    CORNER_UR_PROJECTION_X_PRODUCT = 625800.000","    CORNER_UR_PROJECTION_X_PRODUCT = 636000.000"
,"    CORNER_UR_PROJECTION_Y_PRODUCT = 4877340.000","    CORNER_UR_PROJECTION_Y_PRODUCT = 3778200.000","    CORNER_UR_PROJECTION_Y_PRODUCT = 5365800.000","    CORNER_UR_PROJECTION_Y_PRODUCT = 5366100.000","    CORNER_UR_PROJECTION_Y_PRODUCT = 3144000.000","    CORNER_UR_PROJECTION_Y_PRODUCT = 6939300.000","    CORNER_UR_PROJECTION_Y_PRODUCT = 2828400.000"
,"    CORNER_LL_PROJECTION_X_PRODUCT = 489840.000","    CORNER_LL_PROJECTION_X_PRODUCT = 557820.000","    CORNER_LL_PROJECTION_X_PRODUCT = 344400.000","    CORNER_LL_PROJECTION_X_PRODUCT = 477600.000","    CORNER_LL_PROJECTION_X_PRODUCT = 370800.000","    CORNER_LL_PROJECTION_X_PRODUCT = 379800.000","    CORNER_LL_PROJECTION_X_PRODUCT = 411900.000"
,"    CORNER_LL_PROJECTION_Y_PRODUCT = 4658160.000","    CORNER_LL_PROJECTION_Y_PRODUCT = 3573720.000","    CORNER_LL_PROJECTION_Y_PRODUCT = 5145300.000","    CORNER_LL_PROJECTION_Y_PRODUCT = 5147400.000","    CORNER_LL_PROJECTION_Y_PRODUCT = 2923500.000","    CORNER_LL_PROJECTION_Y_PRODUCT = 6691500.000","    CORNER_LL_PROJECTION_Y_PRODUCT = 2602800.000"
,"    CORNER_LR_PROJECTION_X_PRODUCT = 720720.000","    CORNER_LR_PROJECTION_X_PRODUCT = 789300.000","    CORNER_LR_PROJECTION_X_PRODUCT = 588600.000","    CORNER_LR_PROJECTION_X_PRODUCT = 717000.000","    CORNER_LR_PROJECTION_X_PRODUCT = 597300.000","    CORNER_LR_PROJECTION_X_PRODUCT = 625800.000","    CORNER_LR_PROJECTION_X_PRODUCT = 636000.000"
,"    CORNER_LR_PROJECTION_Y_PRODUCT = 4658160.000","    CORNER_LR_PROJECTION_Y_PRODUCT = 3573720.000","    CORNER_LR_PROJECTION_Y_PRODUCT = 5145300.000","    CORNER_LR_PROJECTION_Y_PRODUCT = 5147400.000","    CORNER_LR_PROJECTION_Y_PRODUCT = 2923500.000","    CORNER_LR_PROJECTION_Y_PRODUCT = 6691500.000","    CORNER_LR_PROJECTION_Y_PRODUCT = 2602800.000"
,"  END_GROUP = PROJECTION_ATTRIBUTES","  END_GROUP = PROJECTION_ATTRIBUTES","  END_GROUP = PROJECTION_ATTRIBUTES","  END_GROUP = PROJECTION_ATTRIBUTES","  END_GROUP = PROJECTION_ATTRIBUTES","  END_GROUP = PROJECTION_ATTRIBUTES","  END_GROUP = PROJECTION_ATTRIBUTES"
,"  GROUP = LEVEL1_PROCESSING_RECORD","  GROUP = LEVEL1_PROCESSING_RECORD","  GROUP = LEVEL1_PROCESSING_RECORD","  GROUP = LEVEL1_PROCESSING_RECORD","  GROUP = LEVEL1_PROCESSING_RECORD","  GROUP = LEVEL1_PROCESSING_RECORD","  GROUP = LEVEL1_PROCESSING_RECORD"
,"    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey"""
,"    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/F7H994GQ""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/P9AF14YV""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/F7N015TQ""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/F7WH2P8G""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/F71835S6""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/F71835S6""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/F71835S6"""
,"    REQUEST_ID = ""L29289153""","    REQUEST_ID = ""0522001136279_00001""","    REQUEST_ID = ""L29289152""","    REQUEST_ID = ""L29289151""","    REQUEST_ID = ""L29289150""","    REQUEST_ID = ""L29289148""","    REQUEST_ID = ""L29289149"""
landsat:scene_id,"    LANDSAT_SCENE_ID = ""LM10400301972273GDS07""","    LANDSAT_SCENE_ID = ""LM40270371983105AAA06""","    LANDSAT_SCENE_ID = ""LT50470272010279PAC01""","    LANDSAT_SCENE_ID = ""LE70420272005270EDC00""","    LANDSAT_SCENE_ID = ""LC81400412013123LGN02""","    LANDSAT_SCENE_ID = ""LO80670172013203LGN03""","    LANDSAT_SCENE_ID = ""LT80150432013127LGN03"""
,"    LANDSAT_PRODUCT_ID = ""LM01_L1TP_040030_19720929_20190828_02_T2""","    LANDSAT_PRODUCT_ID = ""LM04_L1TP_027037_19830415_20200113_02_T2""","    LANDSAT_PRODUCT_ID = ""LT05_L1TP_047027_20101006_20190828_02_T1""","    LANDSAT_PRODUCT_ID = ""LE07_L1TP_042027_20050927_20190828_02_T1""","    LANDSAT_PRODUCT_ID = ""LC08_L1TP_140041_20130503_20190828_02_T1""","    LANDSAT_PRODUCT_ID = ""LO08_L1TP_067017_20130722_20190828_02_T1""","    LANDSAT_PRODUCT_ID = ""LT08_L1GT_015043_20130507_20190828_02_T2"""
,"    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1GT"""
,"    COLLECTION_CATEGORY = ""T2""","    COLLECTION_CATEGORY = ""T2""","    COLLECTION_CATEGORY = ""T1""","    COLLECTION_CATEGORY = ""T1""","    COLLECTION_CATEGORY = ""T1""","    COLLECTION_CATEGORY = ""T1""","    COLLECTION_CATEGORY = ""T2"""
,"    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF"""
created,"    DATE_PRODUCT_GENERATED = 2019-08-28T15:54:50Z","    DATE_PRODUCT_GENERATED = 2020-01-13T19:48:32Z","    DATE_PRODUCT_GENERATED = 2019-08-28T15:58:36Z","    DATE_PRODUCT_GENERATED = 2019-08-28T16:00:39Z","    DATE_PRODUCT_GENERATED = 2019-08-28T15:57:15Z","    DATE_PRODUCT_GENERATED = 2019-08-28T15:56:21Z","    DATE_PRODUCT_GENERATED = 2019-08-28T15:56:42Z"
,"    PROCESSING_SOFTWARE_VERSION = ""LPGS_15.2.0""","    PROCESSING_SOFTWARE_VERSION = ""LPGS_14.0.0""","    PROCESSING_SOFTWARE_VERSION = ""LPGS_15.2.0""","    PROCESSING_SOFTWARE_VERSION = ""LPGS_15.2.0""","    PROCESSING_SOFTWARE_VERSION = ""LPGS_15.2.0""","    PROCESSING_SOFTWARE_VERSION = ""LPGS_15.2.0""","    PROCESSING_SOFTWARE_VERSION = ""LPGS_15.2.0"""
,,"    FILE_NAME_BAND_1 = ""LM04_L1TP_027037_19830415_20200113_02_T2_B1.TIF""","    FILE_NAME_BAND_1 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B1.TIF""","    FILE_NAME_BAND_1 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B1.TIF""","    FILE_NAME_BAND_1 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B1.TIF""","    FILE_NAME_BAND_1 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B1.TIF""",
,,"    FILE_NAME_BAND_2 = ""LM04_L1TP_027037_19830415_20200113_02_T2_B2.TIF""","    FILE_NAME_BAND_2 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B2.TIF""","    FILE_NAME_BAND_2 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B2.TIF""","    FILE_NAME_BAND_2 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B2.TIF""","    FILE_NAME_BAND_2 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B2.TIF""",
,,"    FILE_NAME_BAND_3 = ""LM04_L1TP_027037_19830415_20200113_02_T2_B3.TIF""","    FILE_NAME_BAND_3 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B3.TIF""","    FILE_NAME_BAND_3 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B3.TIF""","    FILE_NAME_BAND_3 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B3.TIF""","    FILE_NAME_BAND_3 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B3.TIF""",
,"    FILE_NAME_BAND_4 = ""LM01_L1TP_040030_19720929_20190828_02_T2_B4.TIF""","    FILE_NAME_BAND_4 = ""LM04_L1TP_027037_19830415_20200113_02_T2_B4.TIF""","    FILE_NAME_BAND_4 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B4.TIF""","    FILE_NAME_BAND_4 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B4.TIF""","    FILE_NAME_BAND_4 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B4.TIF""","    FILE_NAME_BAND_4 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B4.TIF""",
,"    FILE_NAME_BAND_5 = ""LM01_L1TP_040030_19720929_20190828_02_T2_B5.TIF""",,"    FILE_NAME_BAND_5 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B5.TIF""","    FILE_NAME_BAND_5 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B5.TIF""","    FILE_NAME_BAND_5 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B5.TIF""","    FILE_NAME_BAND_5 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B5.TIF""",
,"    FILE_NAME_BAND_6 = ""LM01_L1TP_040030_19720929_20190828_02_T2_B6.TIF""",,"    FILE_NAME_BAND_6 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B6.TIF""",,"    FILE_NAME_BAND_6 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B6.TIF""","    FILE_NAME_BAND_6 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B6.TIF""",
,,,,"    FILE_NAME_BAND_6_VCID_1 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B6_VCID_1.TIF""",,,
,,,,"    FILE_NAME_BAND_6_VCID_2 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B6_VCID_2.TIF""",,,
